K,Running time
2,3.748495134857143e-06
3,3.602066539714285e-06
4,3.556842764285715e-06
5,3.414303755e-06
6,3.414730613142859e-06
8,3.478439946142856e-06
10,3.4104725261428583e-06
12,3.4103129695714276e-06
16,3.4254239138571407e-06
20,3.3627901887142853e-06
24,3.448952254428568e-06
